lat,lon,NH3_total
12.75,77.35,309.08658928025
12.75,77.45,309.06608259889003
12.75,77.55,512.5159168167
12.75,77.65,512.0641060331
12.75,77.75,440.754586012
12.85,77.35,312.7821431982
12.85,77.45,312.3965469728
12.85,77.55,683.1203306666
12.85,77.65,683.8525068820001
12.85,77.75,525.98864849356
12.95,77.35,312.72084592992
12.95,77.45,313.271080083
12.95,77.55,688.49338488
12.95,77.65,686.547916254
12.95,77.75,525.66077532336
13.05,77.35,317.08172038734
13.05,77.45,317.30579720754
13.05,77.55,526.1365663787999
13.05,77.65,522.0099730088
13.05,77.75,459.26745837039994
13.15,77.35,317.11317931154
13.15,77.45,316.30754810272003
13.15,77.55,520.5429060698
13.15,77.65,521.594292195
13.15,77.75,459.61721845211997
